scenfile,max_agent_one_solvable,max_agent_all_solvable
empty-16-16-even-18.scen,120,50
lak303d-even-7.scen,1000,70
maze-32-32-2-even-24.scen,160,30
maze-32-32-2-random-19.scen,160,30
maze-128-128-2-even-25.scen,270,20
Paris_1_256-even-17.scen,1000,240
maze-128-128-1-even-4.scen,160,20
room-32-32-4-random-3.scen,330,30
den520d-even-8.scen,1000,200
Berlin_1_256-random-7.scen,1000,300
random-64-64-20-random-18.scen,1000,120
Boston_0_256-even-24.scen,1000,140
lt_gallowstemplar_n-random-21.scen,1000,80
ost003d-random-1.scen,1000,100
ost003d-even-1.scen,1000,100
ht_chantry-even-18.scen,1000,70
maze-128-128-1-random-10.scen,160,20
empty-32-32-random-22.scen,510,130
empty-16-16-even-8.scen,120,50
maze-128-128-2-random-23.scen,270,20
maze-128-128-10-random-20.scen,1000,40
random-64-64-20-random-14.scen,1000,120
Berlin_1_256-even-2.scen,1000,300
lt_gallowstemplar_n-random-9.scen,1000,80
Boston_0_256-even-4.scen,1000,140
den520d-random-2.scen,1000,200
room-64-64-16-random-9.scen,730,60
maze-128-128-2-even-20.scen,270,20
empty-32-32-even-8.scen,510,130
maze-128-128-10-even-16.scen,1000,40
warehouse-10-20-10-2-1-random-15.scen,1000,130
empty-48-48-even-25.scen,1000,180
random-64-64-10-random-24.scen,1000,180
empty-32-32-even-4.scen,510,130
random-64-64-20-random-20.scen,1000,120
maze-128-128-2-even-12.scen,270,20
lt_gallowstemplar_n-random-19.scen,1000,80
maze-128-128-2-even-14.scen,270,20
den312d-random-13.scen,850,50
warehouse-10-20-10-2-1-even-2.scen,1000,130
den312d-even-3.scen,850,50
den520d-even-24.scen,1000,200
random-32-32-20-even-4.scen,400,60
ht_chantry-random-16.scen,1000,70
den312d-even-8.scen,850,50
empty-48-48-even-9.scen,1000,180
random-64-64-10-even-15.scen,1000,180
Boston_0_256-even-19.scen,1000,140
Berlin_1_256-even-9.scen,1000,300
maze-32-32-2-even-4.scen,160,30
lak303d-even-2.scen,1000,70
Boston_0_256-random-21.scen,1000,140
Boston_0_256-random-23.scen,1000,140
empty-48-48-random-17.scen,1000,180
warehouse-10-20-10-2-2-even-5.scen,1000,240
warehouse-10-20-10-2-2-even-15.scen,1000,240
Boston_0_256-random-11.scen,1000,140
empty-8-8-random-20.scen,30,30
den520d-random-10.scen,1000,200
maze-128-128-2-random-14.scen,270,20
maze-128-128-1-random-2.scen,160,20
room-32-32-4-random-9.scen,330,30
room-64-64-16-random-22.scen,730,60
empty-16-16-even-1.scen,120,50
lak303d-even-13.scen,1000,70
maze-32-32-2-random-17.scen,160,30
Paris_1_256-random-10.scen,1000,240
room-64-64-8-even-24.scen,600,40
room-64-64-8-random-17.scen,600,40
ht_chantry-random-10.scen,1000,70
maze-128-128-1-even-12.scen,160,20
warehouse-20-40-10-2-1-even-10.scen,1000,310
random-64-64-10-random-7.scen,1000,180
maze-32-32-2-even-20.scen,160,30
warehouse-10-20-10-2-2-random-6.scen,1000,240
ht_mansion_n-random-19.scen,1000,110
room-32-32-4-even-7.scen,330,30
room-64-64-16-random-20.scen,730,60
lt_gallowstemplar_n-random-13.scen,1000,80
warehouse-20-40-10-2-2-random-25.scen,1000,390
maze-128-128-2-even-18.scen,270,20
warehouse-10-20-10-2-1-even-10.scen,1000,130
warehouse-10-20-10-2-1-random-20.scen,1000,130
empty-48-48-random-13.scen,1000,180
warehouse-10-20-10-2-1-even-12.scen,1000,130
warehouse-20-40-10-2-2-random-15.scen,1000,390
warehouse-10-20-10-2-2-random-24.scen,1000,240
random-32-32-10-even-18.scen,460,110
random-64-64-10-even-1.scen,1000,180
Paris_1_256-even-9.scen,1000,240
warehouse-20-40-10-2-1-random-18.scen,1000,310
random-64-64-20-even-11.scen,1000,120
ht_chantry-even-2.scen,1000,70
empty-32-32-random-21.scen,510,130
Berlin_1_256-even-13.scen,1000,300
empty-16-16-even-16.scen,120,50
ht_chantry-even-17.scen,1000,70
random-32-32-10-random-21.scen,460,110
room-64-64-16-even-1.scen,730,60
warehouse-10-20-10-2-1-random-18.scen,1000,130
random-32-32-20-random-23.scen,400,60
warehouse-20-40-10-2-1-even-12.scen,1000,310
Berlin_1_256-random-16.scen,1000,300
maze-128-128-1-even-21.scen,160,20
random-32-32-20-random-17.scen,400,60
warehouse-10-20-10-2-1-even-25.scen,1000,130
warehouse-10-20-10-2-1-random-11.scen,1000,130
room-64-64-16-even-15.scen,730,60
empty-32-32-random-18.scen,510,130
den520d-even-11.scen,1000,200
room-32-32-4-random-24.scen,330,30
room-64-64-16-even-2.scen,730,60
warehouse-10-20-10-2-2-even-7.scen,1000,240
random-64-64-20-even-25.scen,1000,120
warehouse-20-40-10-2-2-even-14.scen,1000,390
maze-128-128-10-random-22.scen,1000,40
random-64-64-20-even-16.scen,1000,120
warehouse-10-20-10-2-2-even-9.scen,1000,240
maze-128-128-1-even-14.scen,160,20
random-32-32-20-random-10.scen,400,60
empty-48-48-even-10.scen,1000,180
Boston_0_256-even-20.scen,1000,140
empty-48-48-random-12.scen,1000,180
empty-8-8-random-16.scen,30,30
maze-128-128-1-even-7.scen,160,20
warehouse-20-40-10-2-2-even-11.scen,1000,390
lt_gallowstemplar_n-random-1.scen,1000,80
empty-48-48-even-3.scen,1000,180
maze-128-128-1-even-19.scen,160,20
random-32-32-10-even-3.scen,460,110
lt_gallowstemplar_n-random-5.scen,1000,80
empty-48-48-random-25.scen,1000,180
room-64-64-16-even-3.scen,730,60
ht_mansion_n-even-24.scen,1000,110
lt_gallowstemplar_n-even-13.scen,1000,80
warehouse-20-40-10-2-2-even-9.scen,1000,390
warehouse-20-40-10-2-2-even-5.scen,1000,390
empty-48-48-random-14.scen,1000,180
warehouse-20-40-10-2-2-even-17.scen,1000,390
random-64-64-10-random-9.scen,1000,180
den520d-random-3.scen,1000,200
maze-32-32-4-even-22.scen,290,30
random-32-32-10-even-20.scen,460,110
random-64-64-20-even-21.scen,1000,120
lt_gallowstemplar_n-even-22.scen,1000,80
random-32-32-20-even-14.scen,400,60
room-64-64-16-even-22.scen,730,60
room-32-32-4-even-12.scen,330,30
Paris_1_256-even-18.scen,1000,240
warehouse-10-20-10-2-1-even-6.scen,1000,130
empty-16-16-even-21.scen,120,50
room-32-32-4-random-10.scen,330,30
maze-128-128-1-even-11.scen,160,20
random-32-32-20-random-11.scen,400,60
warehouse-20-40-10-2-2-even-8.scen,1000,390
lt_gallowstemplar_n-even-7.scen,1000,80
room-32-32-4-random-16.scen,330,30
den312d-even-5.scen,850,50
empty-48-48-even-13.scen,1000,180
lak303d-even-9.scen,1000,70
room-64-64-8-random-10.scen,600,40
den312d-even-17.scen,850,50
ht_mansion_n-random-2.scen,1000,110
random-32-32-20-even-16.scen,400,60
room-64-64-8-random-18.scen,600,40
empty-32-32-even-6.scen,510,130
ost003d-random-6.scen,1000,100
warehouse-20-40-10-2-1-even-20.scen,1000,310
ht_mansion_n-random-11.scen,1000,110
random-64-64-10-random-14.scen,1000,180
ost003d-random-3.scen,1000,100
Boston_0_256-random-14.scen,1000,140
empty-8-8-random-13.scen,30,30
room-64-64-8-even-8.scen,600,40
maze-32-32-2-even-25.scen,160,30
ost003d-random-25.scen,1000,100
den520d-random-18.scen,1000,200
Paris_1_256-even-15.scen,1000,240
lak303d-random-2.scen,1000,70
lt_gallowstemplar_n-random-6.scen,1000,80
warehouse-20-40-10-2-1-even-22.scen,1000,310
empty-16-16-even-23.scen,120,50
empty-16-16-random-15.scen,120,50
maze-128-128-1-random-16.scen,160,20
Boston_0_256-random-16.scen,1000,140
random-32-32-10-random-23.scen,460,110
room-64-64-8-random-22.scen,600,40
maze-128-128-2-random-9.scen,270,20
warehouse-10-20-10-2-2-random-21.scen,1000,240
ht_mansion_n-random-18.scen,1000,110
warehouse-20-40-10-2-2-even-25.scen,1000,390
maze-128-128-10-even-2.scen,1000,40
empty-8-8-even-4.scen,30,30
room-64-64-16-even-14.scen,730,60
warehouse-20-40-10-2-1-even-23.scen,1000,310
warehouse-20-40-10-2-2-random-22.scen,1000,390
room-64-64-8-even-20.scen,600,40
warehouse-20-40-10-2-1-even-18.scen,1000,310
warehouse-10-20-10-2-1-random-14.scen,1000,130
room-64-64-16-even-13.scen,730,60
random-64-64-10-even-18.scen,1000,180
ht_chantry-even-22.scen,1000,70
ht_mansion_n-random-21.scen,1000,110
empty-16-16-even-4.scen,120,50
maze-32-32-2-even-7.scen,160,30
warehouse-10-20-10-2-1-even-23.scen,1000,130
maze-128-128-1-even-8.scen,160,20
Paris_1_256-even-1.scen,1000,240
warehouse-20-40-10-2-2-even-2.scen,1000,390
room-32-32-4-even-2.scen,330,30
maze-32-32-4-random-4.scen,290,30
empty-48-48-even-5.scen,1000,180
empty-32-32-random-10.scen,510,130
lak303d-even-8.scen,1000,70
Boston_0_256-random-22.scen,1000,140
maze-32-32-2-even-10.scen,160,30
maze-32-32-4-random-14.scen,290,30
maze-128-128-2-even-23.scen,270,20
Boston_0_256-even-2.scen,1000,140
maze-128-128-10-random-7.scen,1000,40
Boston_0_256-random-1.scen,1000,140
maze-32-32-4-even-23.scen,290,30
empty-8-8-even-3.scen,30,30
maze-128-128-1-random-4.scen,160,20
Boston_0_256-even-13.scen,1000,140
warehouse-10-20-10-2-2-even-11.scen,1000,240
maze-128-128-10-even-1.scen,1000,40
warehouse-20-40-10-2-2-random-13.scen,1000,390
maze-32-32-2-random-12.scen,160,30
ht_chantry-random-15.scen,1000,70
warehouse-10-20-10-2-1-random-21.scen,1000,130
warehouse-10-20-10-2-2-even-3.scen,1000,240
Berlin_1_256-even-17.scen,1000,300
den520d-random-19.scen,1000,200
room-64-64-8-even-13.scen,600,40
empty-32-32-even-3.scen,510,130
lt_gallowstemplar_n-even-11.scen,1000,80
warehouse-20-40-10-2-2-random-14.scen,1000,390
maze-128-128-10-random-13.scen,1000,40
ht_mansion_n-even-5.scen,1000,110
den312d-even-22.scen,850,50
den520d-random-25.scen,1000,200
warehouse-20-40-10-2-2-even-13.scen,1000,390
warehouse-20-40-10-2-1-random-20.scen,1000,310
room-32-32-4-even-15.scen,330,30
den312d-even-21.scen,850,50
room-64-64-16-even-18.scen,730,60
maze-128-128-2-random-21.scen,270,20
warehouse-20-40-10-2-1-even-25.scen,1000,310
ost003d-random-11.scen,1000,100
empty-8-8-even-9.scen,30,30
random-32-32-20-random-12.scen,400,60
maze-32-32-4-random-20.scen,290,30
maze-128-128-10-random-1.scen,1000,40
room-64-64-8-even-22.scen,600,40
random-64-64-10-even-21.scen,1000,180
maze-32-32-2-random-3.scen,160,30
warehouse-10-20-10-2-2-random-16.scen,1000,240
maze-128-128-2-random-10.scen,270,20
ost003d-even-4.scen,1000,100
random-32-32-20-even-24.scen,400,60
room-32-32-4-even-16.scen,330,30
room-64-64-16-even-8.scen,730,60
Paris_1_256-even-14.scen,1000,240
room-32-32-4-random-11.scen,330,30
empty-8-8-even-1.scen,30,30
empty-16-16-random-5.scen,120,50
ost003d-random-21.scen,1000,100
maze-32-32-4-random-21.scen,290,30
empty-8-8-random-19.scen,30,30
den312d-random-15.scen,850,50
maze-128-128-1-random-21.scen,160,20
random-64-64-20-random-5.scen,1000,120
maze-128-128-10-random-11.scen,1000,40
maze-128-128-2-even-7.scen,270,20
room-64-64-8-random-11.scen,600,40
ht_chantry-even-12.scen,1000,70
empty-8-8-even-13.scen,30,30
warehouse-20-40-10-2-2-random-18.scen,1000,390
maze-32-32-2-random-9.scen,160,30
empty-16-16-random-23.scen,120,50
Paris_1_256-even-22.scen,1000,240
maze-32-32-2-random-5.scen,160,30
maze-128-128-1-even-2.scen,160,20
warehouse-10-20-10-2-1-even-16.scen,1000,130
den520d-random-13.scen,1000,200
warehouse-20-40-10-2-1-random-5.scen,1000,310
lak303d-even-19.scen,1000,70
den312d-random-3.scen,850,50
empty-48-48-random-20.scen,1000,180
maze-32-32-2-even-8.scen,160,30
random-32-32-10-even-16.scen,460,110
Paris_1_256-random-12.scen,1000,240
empty-8-8-even-22.scen,30,30
empty-16-16-random-16.scen,120,50
maze-32-32-4-even-24.scen,290,30
ht_chantry-even-25.scen,1000,70
den520d-even-12.scen,1000,200
empty-8-8-even-5.scen,30,30
warehouse-20-40-10-2-2-random-21.scen,1000,390
lak303d-random-3.scen,1000,70
ht_mansion_n-random-20.scen,1000,110
warehouse-20-40-10-2-2-even-23.scen,1000,390
room-64-64-8-random-23.scen,600,40
